"#","Event code","Title","ELIXIR Node","Start date","End date","Duration","Event type","Funding","Organising Institution/s","Location (city, country)","EXCELERATE subtask","Target audience","Additional ELIXIR Platforms involved","ELIXIR Communities involved","Number of participants","Number of trainers/ facilitators","Url to event page/ agenda","Main organiser"
"885","6544","Big Data and Cloud Computing","ELIXIR-UK","01.06.2018","01.06.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","38","2","https://training.csx.cam.ac.uk/bioinformatics/event/2473649","ELIXIR-UK"
"886","6137","PRACE HPC Workshop 2018 - Parallel computing in bioinformatics research","ELIXIR-ES, ELIXIR-SI","30.05.2018","30.05.2018","1.00 Days","Knowledge exchange workshop","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds, EXCELERATE","University of Ljubljana Faculty of Law","Slovenia","WP11 - TtR, WP11 - eLearning","Academia/ Research Institution","NA","NA","12","4","https://elixir.mf.uni-lj.si/course/view.php?id=34","ELIXIR-ES"
"887","5863","First Steps in Parallelization with OpenMP","ELIXIR-CH","30.05.2018","30.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","20","1","https://www.sib.swiss/training/course/OpenMP-Basel2018","ELIXIR-CH"
"888","5862","RNA-seq: From quality control to pathway analysis","ELIXIR-CH","30.05.2018","31.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","22","2","https://www.sib.swiss/training/course/2018-05-rnas-be03","ELIXIR-CH"
"889","5861","First Steps with UNIX in Life Sciences","ELIXIR-CH","29.05.2018","29.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","11","2","https://www.sib.swiss/training/course/2018-05-unix","ELIXIR-CH"
"890","6045","Data Carpentry Course","ELIXIR-DE","28.05.2018","29.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","EMBL, UCD","Republic of Ireland","","Academia/ Research Institution","NA","NA","35","2","https://www.denbi.de/training-archive-sorted-according-by-date/2018/110-data-carpentry-2","ELIXIR-DE"
"891","6267","Proteomics Data Analysis","ELIXIR-PT","28.05.2018","01.06.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Instituto Gulbenkian de Ciência / BioData.pt","Portugal","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","11","3","http://gtpb.igc.gulbenkian.pt/bicourses/2018/PDA18/","ELIXIR-PT"
"892","6543","Protein Structure Analysis","ELIXIR-UK","24.05.2018","25.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","32","3","https://training.csx.cam.ac.uk/bioinformatics/event/2419336","ELIXIR-UK"
"893","6542","Data analysis and visualization in R","ELIXIR-UK","23.05.2018","23.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","39","4","https://training.csx.cam.ac.uk/bioinformatics/event/2427471","ELIXIR-UK"
"894","6044","Computational Genomics: Bisulfite-seq analysis and data integration","ELIXIR-DE","23.05.2018","25.05.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","MDC Berlin","Germany","","Academia/ Research Institution","NA","Human Data","25","3","https://www.denbi.de/training-archive-sorted-according-by-date/2018/109-computational-genomics-bisulfite-seq-analysis-and-data-integration","ELIXIR-DE"
"895","5860","Inferring gene regulatory networks from high-throughput data with ISMARA","ELIXIR-CH","23.05.2018","23.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","22","3","https://www.sib.swiss/training/course/2018-05-reg-networks","ELIXIR-CH"
"896","6541","High Performance Computing: An introduction","ELIXIR-UK","22.05.2018","22.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","26","1","https://training.csx.cam.ac.uk/bioinformatics/event/2496956","ELIXIR-UK"
"897","5919","7th RepeatExplorer Workshop","ELIXIR-CZ","22.05.2018","24.05.2018","3.00 Days","Training - face to face","ELIXIR Node","Institute of Plant Molecular Biology _eské Bud_jovice","Czech Republic","","Academia/ Research Institution","NA","NA","35","2","http://repeatexplorer.org/?page_id=878","ELIXIR-CZ"
"898","6289","Reproducible research","ELIXIR-SE","22.05.2018","23.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","20","5","https://www.scilifelab.se/education/courses/","ELIXIR-SE"
"899","6540","Introduction to Unix Shell","ELIXIR-UK","21.05.2018","21.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","24","1","https://training.csx.cam.ac.uk/bioinformatics/event/2496994","ELIXIR-UK"
"900","6125","ELIXIR EXCELERATE Train the Trainer","ELIXIR-EMBL-EBI","21.05.2018","21.05.2018","1.00 Days","Training - face to face","EXCELERATE","EMBL-EBI","United Kingdom","WP11 - TtT","Academia/ Research Institution","NA","Galaxy","15","2","http://www.earlham.ac.uk/elixir-workshop-galaxy-training-material-and-skills-improvement","ELIXIR-EMBL-EBI"
"901","6060","Workshop for Galaxy training material and skills improvement","ELIXIR-DE, ELIXIR-UK","21.05.2018","23.05.2018","3.00 Days","Training - face to face","ELIXIR Node","University of Freiburg","United Kingdom","","Academia/ Research Institution","NA","Galaxy","15","2","https://www.denbi.de/training-archive-sorted-according-by-date/2018/108-workshop-for-galaxy-training-material-and-skills-improvement","ELIXIR-DE"
"902","6288","Introduction to Bioinformatics usign NGS data","ELIXIR-SE","21.05.2018","25.05.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS, SciLifeLab","Sweden","","Academia/ Research Institution","NA","NA","20","10","https://www.scilifelab.se/events/ngsdatavt18lkp/","ELIXIR-SE"
"903","6287","scRNAseq","ELIXIR-SE","21.05.2018","23.05.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","25","10","https://www.scilifelab.se/events/scRNAseq-VT18/","ELIXIR-SE"
"904","6539","An Introduction to Solving Biological Problems with Python","ELIXIR-UK","17.05.2018","18.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","40","2","https://training.csx.cam.ac.uk/bioinformatics/event/2426740","ELIXIR-UK"
"905","6538","Statistical Analysis using R","ELIXIR-UK","16.05.2018","16.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","32","2","https://training.csx.cam.ac.uk/bioinformatics/event/2426604","ELIXIR-UK"
"906","5858","Better coding practices","ELIXIR-CH","16.05.2018","16.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","55","1","https://www.sib.swiss/training/course/2018-05-better-coding-practices","ELIXIR-CH"
"907","5859","Python for Life Scientists","ELIXIR-CH","16.05.2018","18.05.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","28","2","https://www.sib.swiss/training/course/2018-05-python","ELIXIR-CH"
"908","6043","Phylogenetic tree reconstruction","ELIXIR-DE","16.05.2018","16.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Kiel","Germany","","Academia/ Research Institution","NA","NA","24","1","https://www.denbi.de/training-archive-sorted-according-by-date/2018/107-phylogenetic-reconstruction","ELIXIR-DE"
"909","6537","Metabolomics with the Q Exactive","ELIXIR-UK","15.05.2018","17.05.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Birmingham Metabolomics Training Centre University of Birmingham","United Kingdom","","Academia/ Research Institution","NA","NA","4","3","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/course-list.aspx","ELIXIR-UK"
"910","6535","GBI/ELIXIR/EuBI/NEUBIAS hackathon for image analysis training material re-use","ELIXIR-UK","14.05.2018","15.05.2018","2.00 Days","Training - face to face","ELIXIR Node","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","18","2","https://training.csx.cam.ac.uk/bioinformatics/event/2497799","ELIXIR-UK"
"911","6536","Introduction to Linux and Workflows for Biologists","ELIXIR-UK","14.05.2018","18.05.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Edingburgh Genomics University of Edingburgh","United Kingdom","","Academia/ Research Institution","NA","NA","20","1","https://genomics.ed.ac.uk/services/training","ELIXIR-UK"
"912","6266","Population Genetics and Demographic History","ELIXIR-PT","14.05.2018","18.05.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Instituto Gulbenkian de Ciência / BioData.pt","Portugal","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","12","4","http://gtpb.igc.gulbenkian.pt/bicourses/2018/PGDH18/","ELIXIR-PT"
"913","6286","RNAseq","ELIXIR-SE","14.05.2018","16.05.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","20","9","https://www.scilifelab.se/events/rnaseqvt18/","ELIXIR-SE"
"914","6136","Seminar: Machine learning for biologists","ELIXIR-ES","09.05.2018","09.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Malaga","Spain","","Academia/ Research Institution","NA","NA","16","1","http://www.bioinf.jku.at/people/bodenhofer/UMA_ML/","ELIXIR-ES"
"915","5857","Intermediate R","ELIXIR-CH","08.05.2018","09.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","30","2","https://www.sib.swiss/training/course/intR-May2018","ELIXIR-CH"
"916","6534","Introduction to Metabolomics for the Clinical Scientist","ELIXIR-UK","07.05.2018","07.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Birmingham Metabolomics Training Centre University of Birmingham","United Kingdom","","Academia/ Research Institution","NA","NA","7","1","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/course-list.aspx","ELIXIR-UK"
"917","6265","Elixir-Excelerate Workshop on Marine Metagenomics","ELIXIR-PT","07.05.2018","11.05.2018","5.00 Days","Training - face to face","EXCELERATE","Instituto Gulbenkian de Ciência / BioData.pt","Portugal","WP11 - TtR","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","Marine Metagenomics","20","5","https://biodata.pt/event/elixir-excelerate-workshop-marine-metagenomics","ELIXIR-PT"
"918","6533","Working with Python: functions and modules","ELIXIR-UK","03.05.2018","03.05.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","32","2","https://training.csx.cam.ac.uk/bioinformatics/event/2406617","ELIXIR-UK"
"919","6042","Data Carpentry Course","ELIXIR-DE","02.05.2018","03.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","EMBL","Germany","","Academia/ Research Institution","NA","NA","26","5","https://www.denbi.de/training-archive-sorted-according-by-date/2018/106-data-carpentry","ELIXIR-DE"
"920","6532","An Introduction to Machine Learning","ELIXIR-UK","01.05.2018","02.05.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","44","3","https://training.csx.cam.ac.uk/bioinformatics/event/2386028","ELIXIR-UK"
"921","6041","Computation and statistics for mass spectrometry and proteomics","ELIXIR-DE","30.04.2018","02.05.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Tübingen","United States","","Academia/ Research Institution","NA","Proteomics, Metabolomics","30","3","https://www.denbi.de/training-archive-sorted-according-by-date/2018/105-computation-and-statistics-for-mass-spectrometry-and-proteomics","ELIXIR-DE"
"922","6531","An Introduction to Solving Biological Problems with R","ELIXIR-UK","26.04.2018","27.04.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","47","3","https://training.csx.cam.ac.uk/bioinformatics/event/2383110","ELIXIR-UK"
"923","5856","Transcriptomics Analysis: RNA-seq","ELIXIR-CH","25.04.2018","26.04.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","25","2","https://www.sib.swiss/training/course/2018-04-rna-seq","ELIXIR-CH"
"924","6530","ELIXIR EXCELERATE Train the Trainer","ELIXIR-UK","24.04.2018","25.04.2018","2.00 Days","Training - face to face","EXCELERATE","University of Cambridge","United Kingdom","WP11 - TtT","Academia/ Research Institution","NA","NA","14","2","https://training.csx.cam.ac.uk/bioinformatics/event/2412734","ELIXIR-UK"
"925","6148","ELIXIR AAI Training for Relying Services","ELIXIR-FI, ELIXIR-CZ","24.04.2018","25.04.2018","2.00 Days","Training - face to face","EXCELERATE","CSC","Germany","WP11 - TtD","Academia/ Research Institution","Compute","NA","20","4","https://www.elixir-czech.cz/events/elixir-aai-training-for-service-providers-apr-2018","ELIXIR-FI"
"926","6040","Tools for System biology modeling and data exchange: COPASI, CellNetAnalyzer, SABIO-RK, SEEK","ELIXIR-DE","24.04.2018","26.04.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Magdeburg","Germany","","Academia/ Research Institution","NA","NA","18","8","https://www.denbi.de/training-archive-sorted-according-by-date/2018/104-tools-for-systems-biology-modeling-and-data-exchange-copasi-cellnetanalyzer-sabio-rk-seek","ELIXIR-DE"
"927","5766","My code changed and with Git I know when and where","ELIXIR-BE","24.04.2018","24.04.2018","1.00 Days","Training - face to face","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","6","1","https://orchid00.github.io/git_for_humans/","ELIXIR-BE"
"928","6529","BBSRC STARS Bioinformatics Spring School 2018","ELIXIR-UK","23.04.2018","27.04.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","BBSRC, Edingburgh Genomics University of Edingburgh","United Kingdom","","Academia/ Research Institution","NA","NA","12","7","https://groups.google.com/forum/#!topic/nextgenbug-archive/ar1J2TCWIh0","ELIXIR-UK"
"929","6264","Train-the-Trainer","ELIXIR-PT","23.04.2018","23.04.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Centre for Genomic Regulation","Spain","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","16","1","https://www.crg.eu/en/event/train-trainer","ELIXIR-PT"
"930","6039","4th de.NBI Genomics training course","ELIXIR-DE","23.04.2018","25.04.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Gießen","Germany","","Academia/ Research Institution","NA","NA","13","6","https://www.denbi.de/training-archive-sorted-according-by-date/2018/103-4th-de-nbi-genomics-training-course","ELIXIR-DE"
"931","6207","Population Genomics: background and tools","ELIXIR-IT","21.04.2018","27.04.2018","7.00 Days","Training - face to face","EXCELERATE, Non-ELIXIR/ Non-EXCELERATE funds","CNR, IGB, Genomix4Lige, Macrogen, INFN","Italy","WP11 - TtR","Academia/ Research Institution","NA","NA","31","9","https://elixir-iib-training.github.io/website/2018/04/21/PopGen-Napoli.html","ELIXIR-IT"
"932","5855","First steps with R in Life Sciences","ELIXIR-CH","19.04.2018","20.04.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","27","2","https://www.sib.swiss/training/course/2018-04-R","ELIXIR-CH"
"933","6528","Molecular Phylogenetics","ELIXIR-UK","18.04.2018","20.04.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","38","6","https://training.csx.cam.ac.uk/bioinformatics/event/2383393","ELIXIR-UK"
"934","5854","R packaging","ELIXIR-CH","17.04.2018","17.04.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","25","1","https://www.sib.swiss/training/course/2018-04-r-packaging","ELIXIR-CH"
"935","6526","Data Carpentry in R","ELIXIR-UK","16.04.2018","17.04.2018","2.00 Days","Training - face to face","ELIXIR Node","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","40","4","https://training.csx.cam.ac.uk/bioinformatics/event/2412722","ELIXIR-UK"
"936","6527","Metabolite identification with the Q Exactive and LTQ Orbitrap","ELIXIR-UK","16.04.2018","17.04.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Birmingham Metabolomics Training Centre University of Birmingham","United Kingdom","","Academia/ Research Institution","NA","NA","3","3","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/course-list.aspx","ELIXIR-UK"
"937","6674","3rd European Conference on Translational Bioinformatics: Biomedical Big Data Supporting Precision Medicine","ELIXIR-ES","16.04.2018","17.04.2018","2.00 Days","Knowledge exchange workshop","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds","Barcelona Supercomputing Center (BSC), Hospital del Mar Medical Research Institute (IMIM)","Spain","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","120","13","https://www.bsc.es/news/events/3rd-european-conference-translational-bioinformatics-biomedical-big-data-supporting-precision","ELIXIR-ES"
"938","6673","The impact of genomics data on health: The role of the European Genome-phenome Archive (EGA)","ELIXIR-ES","13.04.2018","13.04.2018","1.00 Days","Knowledge exchange workshop","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds","European Genome-phenome Archive (EGA), Centre for Genomic Regulation (CRG), Barcelona Supercomputing Center (BSC)","Spain","","Academia/ Research Institution, Non-Profit Organisation, Healthcare","NA","NA","147","10","https://www.crg.eu/en/event/impact-genomics-data-health-role-european-genome-phenome-archive-ega-13-april-2018","ELIXIR-ES"
"939","6525","Data Manipulation and Visualisation with Python","ELIXIR-UK","09.04.2018","13.04.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Edingburgh Genomics University of Edingburgh","United Kingdom","","Academia/ Research Institution","NA","NA","15","1","https://genomics.ed.ac.uk/services/training","ELIXIR-UK"
"940","5853","Chip-seq data analysis: from quality check to motif discovery and more - An introduction to the tools and databases of the EPD team","ELIXIR-CH","09.04.2018","13.04.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","13","4","https://www.sib.swiss/training/course/2018-04-chipseq","ELIXIR-CH"
"941","6263","Analysis of Differential Expression with RNAseq","ELIXIR-PT","09.04.2018","12.04.2018","4.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Instituto Gulbenkian de Ciência / BioData.pt","Portugal","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","18","3","http://gtpb.igc.gulbenkian.pt/bicourses/2018/ADER18F/","ELIXIR-PT"
"942","6239","Workshop Applying bioinformatics and data science competency frameworks to ELIXIR Training","ELIXIR-NL, ELIXIR-UK, ELIXIR-IT","04.04.2018","06.04.2018","3.00 Days","Knowledge exchange workshop","ELIXIR Implementation Study","DTL, University of Cambridge, BioExcel, CNR","Netherlands","","Academia/ Research Institution","NA","NA","25","3","https://www.dtls.nl/events/applying-bioinformatics-data-science-competency-frameworks-elixir-training/","ELIXIR-NL"
"943","6133","Seminar: R for gene expression studies","ELIXIR-ES","04.04.2018","05.04.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Malaga","Spain","","Academia/ Research Institution","NA","NA","20","1","https://elixir-europe.org/about-us/who-we-are/nodes/spain","ELIXIR-ES"
"944","6038","Introduction to Python Programming","ELIXIR-DE","04.04.2018","05.04.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","EMBL","Germany","","Academia/ Research Institution","NA","NA","29","3","https://www.denbi.de/training-archive-sorted-according-by-date/2018/102-introduction-to-python-programming","ELIXIR-DE"
"945","6630","Challenges and Opportunities with Virtual Research Environments","ELIXIR-EMBL-EBI, ELIXIR-ES","04.04.2018","04.04.2018","1.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","EMBL-EBI, CRC","Online","","Academia/ Research Institution","NA","NA","","1","https://www.ebi.ac.uk/training/online/course/challenges-and-opportunities-virtual-research-environments","ELIXIR-EMBL-EBI"
"946","6262","Advanced Biostatistics for Bioinformatics Tool Users using R","ELIXIR-PT","03.04.2018","06.04.2018","4.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Instituto Gulbenkian de Ciência / BioData.pt","Portugal","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","7","2","http://gtpb.igc.gulbenkian.pt/bicourses/2018/ABSTAT18/","ELIXIR-PT"
"947","6524","Metabolomics Data Processing and Data Analysis","ELIXIR-UK","02.04.2018","29.04.2018","28.00 Days","Training - elearning","Non-ELIXIR/ Non-EXCELERATE funds","Birmingham Metabolomics Training Centre University of Birmingham","Online","","Academia/ Research Institution","NA","NA","30","4","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/course-list.aspx","ELIXIR-UK"
"948","6037","OpenMS Developer Meeting 2018","ELIXIR-DE","02.04.2018","06.04.2018","5.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Tübingen","Portugal","","Academia/ Research Institution","NA","Proteomics","15","3","https://www.denbi.de/training-archive-sorted-according-by-date/2018/101-openms-developer-meeting-2018","ELIXIR-DE"
"949","6523","Analysis of RNA-seq data with Bioconductor","ELIXIR-UK","28.03.2018","29.03.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","40","3","https://training.csx.cam.ac.uk/bioinformatics/event/2383159","ELIXIR-UK"
"950","6171","ELIXIR Software Carpentry Workshop","ELIXIR-FR","28.03.2018","29.03.2018","2.00 Days","Training - face to face","EXCELERATE","French Institute of Bioinformatics (IFB), Institut Pasteur","France","WP11 - TtR","Academia/ Research Institution","NA","NA","15","2","https://www.france-bioinformatique.fr/en/evenements/software-carpentry","ELIXIR-FR"
"951","6036","3rd de.NBI Training Course on Metagenome Analysis","ELIXIR-DE","27.03.2018","29.03.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Bielefeld University","Germany","","Academia/ Research Institution","NA","Marine Metagenomics","9","5","https://www.denbi.de/training-archive-sorted-according-by-date/2018/100-3rd-de-nbi-training-course-on-metagenome-analysis","ELIXIR-DE"
"952","6522","An Introduction to Solving Biological Problems with R","ELIXIR-UK","26.03.2018","27.03.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","38","3","https://training.csx.cam.ac.uk/bioinformatics/event/2383084","ELIXIR-UK"
"953","6180","ELIXIR EXCELERATE Train the Trainer","ELIXIR-FR, ELIXIR-IT, ELIXIR-CH","26.03.2018","27.03.2018","2.00 Days","Training - face to face","EXCELERATE","French Institute of Bioinformatics (IFB)","France","WP11 - TtT","Academia/ Research Institution","NA","NA","12","2","https://elixir-iib-training.github.io/website/2018/03/26/train-the-trainer-paris.html","ELIXIR-FR"
"954","6934","Tools for reproducible research","ELIXIR-SE","22.03.2018","23.03.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","NBIS","Sweden","","Academia/ Research Institution","NA","NA","20","2","https://www.scilifelab.se/events/reproducible-research-vt18/","ELIXIR-SE"
"955","6521","Introduction to Metabolomics for the Microbiologist","ELIXIR-UK","21.03.2018","23.03.2018","3.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","Birmingham Metabolomics Training Centre University of Birmingham","United Kingdom","","Academia/ Research Institution","NA","NA","4","3","https://www.birmingham.ac.uk/facilities/metabolomics-training-centre/course-list.aspx","ELIXIR-UK"
"956","5852","Enrichment Analysis","ELIXIR-CH","21.03.2018","21.03.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","21","2","https://www.sib.swiss/training/course/2018-03-enrichment-analysis","ELIXIR-CH"
"957","5851","Protein sequence databases and sequence annotation","ELIXIR-CH","20.03.2018","20.03.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","16","3","https://www.sib.swiss/training/course/2018-03-protdb","ELIXIR-CH"
"958","6520","An Introduction to solving biological problems with Python","ELIXIR-UK","15.03.2018","16.03.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","University of Cambridge","United Kingdom","","Academia/ Research Institution","NA","NA","41","2","https://training.csx.cam.ac.uk/bioinformatics/event/2383032","ELIXIR-UK"
"959","5850","Data Management Plan","ELIXIR-CH","15.03.2018","15.03.2018","1.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","CUSO, SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution","NA","NA","30","2","https://www.sib.swiss/training/course/2018-03-DMP","ELIXIR-CH"
"960","5765","Introduction to Tidyverse ","ELIXIR-BE","13.03.2018","13.03.2018","1.00 Days","Training - face to face","ELIXIR Node, Non-ELIXIR/ Non-EXCELERATE funds","VIB","Belgium","","Academia/ Research Institution, Industry, Non-Profit Organisation, Healthcare","NA","NA","23","1","https://github.com/orchid00/tidyverse_intro","ELIXIR-BE"
"961","5849","First Steps with R in Life Sciences","ELIXIR-CH","12.03.2018","13.03.2018","2.00 Days","Training - face to face","Non-ELIXIR/ Non-EXCELERATE funds","SIB Swiss Institute of Bioinformatics","Switzerland","","Academia/ Research Institution, Industry, Healthcare, Non-Profit Organisation","NA","NA","30","1","https://www.sib.swiss/training/course/2018-03-R","ELIXIR-CH"
